listing_id,high,medium,low
7142618,0.073533753,0.677953576,0.233615221
7210040,0.091525114,0.653540569,0.238743195
7103890,0.032050532,0.802177691,0.162747545
7143442,0.117421444,0.487671865,0.376810531
6860601,0.030636028,0.691930923,0.271442538
6840081,0.000649224,0.975333044,0.048956591
6922337,0.099991682,0.5974869,0.276625713
6913616,0.093261668,0.676443427,0.231771345
6937820,0.071051236,0.688135127,0.223739413
6893933,0.05430794,0.783848722,0.165325203
6832604,0.008471889,0.928068237,0.076686453
6915282,0.087933382,0.649554148,0.266225389
7127565,0.032124666,0.794614074,0.167044906
6827899,0.016170292,0.861969433,0.125864207
6934855,0.029191845,0.797252281,0.168147736
6861826,0.063396129,0.679204011,0.245539698
6871643,0.064461768,0.731307917,0.203245137
6842542,0.010870903,0.920824919,0.084085121
6934145,0.037317053,0.780905955,0.19038894
6829365,0.146066802,0.465038439,0.385775737
7167858,0.072819547,0.734422467,0.19327219
6859483,0.124282681,0.546739085,0.317676222
6861377,0.049517088,0.744025331,0.190677789
6848960,0.062561293,0.601939948,0.307753542
6918850,0.057244067,0.721894742,0.21625332
6916867,0.069333756,0.754454573,0.178378158
6895840,0.005751693,0.901858493,0.119278594
6813539,0.128493476,0.642082547,0.238393736
7116900,0.094473172,0.617407861,0.264666542
6890328,0.141306775,0.560730874,0.306659974
6879406,0.064109269,0.536403709,0.346071878
6824924,0.136841175,0.545727499,0.317448844
6911302,0.213969594,0.439391058,0.383374889
6918742,0.163487751,0.412586761,0.432809747
6910586,0.002369061,0.952044449,0.071156019
6821750,0.052569519,0.766465772,0.181994224
6860647,0.062404393,0.715622045,0.213183663
6932873,0.166216879,0.339285908,0.52255634
6846053,0.060376321,0.743603994,0.183051393
6940365,0.008262114,0.907414665,0.097414593
6931867,0.038355959,0.695562139,0.238797516
6876383,0.087702155,0.712354373,0.207194888
6910980,0.096045304,0.667880648,0.238392352
6880877,0.051183903,0.710110409,0.212773808
6839552,0.040501941,0.714417223,0.228540462
6838051,0.09631327,0.678866461,0.22687259
6928201,0.176200081,0.566254048,0.276958415
6945608,0.146198441,0.336289581,0.521877144
6816147,0.053967816,0.739169917,0.188897523
6868129,0.139364159,0.48056884,0.383970547
6849448,0.127595005,0.617930712,0.250327044
7113677,0.083086428,0.593047251,0.283733182
6930856,0.046547345,0.79569273,0.156583884
6889594,0.061538482,0.66239456,0.253323893
6842682,0.072005347,0.657129101,0.236183223
6880366,0.158938873,0.543158081,0.295650545
6835063,0.024626224,0.882979773,0.104464189
6820479,0.112196508,0.686109661,0.211817656
6882057,0.046346701,0.668279348,0.275065487
6834440,0.097237325,0.493759107,0.372981281
6880846,0.071819382,0.747122519,0.179711623
6847248,0.012745098,0.877363855,0.12395836
6868368,0.008987342,0.857573481,0.158559261
6943505,0.044880392,0.701111857,0.244611343
7174304,0.112124439,0.646187899,0.237790127
6880747,0.158063473,0.439077389,0.378507971
6933565,0.056590661,0.581743232,0.327915756
6888511,0.057175757,0.806966443,0.14408004
6942704,0.113501745,0.565981729,0.304503455
6840304,0.145984821,0.517982666,0.315745805
6856860,0.025771681,0.847944349,0.128229814
6884921,0.025138906,0.863218741,0.118671324
6937417,0.035881136,0.814070344,0.15854053
6831129,0.035388858,0.859869049,0.114082458
6936660,0.068310809,0.701180105,0.212061636
6940667,0.01736944,0.862887533,0.130946324
7201307,0.000547022,0.979236642,0.043033606
6825434,0.065728555,0.66188968,0.260272037
6848114,0.263611176,0.39373768,0.414746915
6947758,0.19952459,0.504340881,0.326038951
6897002,0.136586415,0.600522224,0.264068476
6926661,0.007552434,0.886606429,0.124998597
6867411,0.1213618,0.57700703,0.293122097
6910154,0.044886972,0.726301786,0.227787646
7157900,0.056252023,0.717793578,0.219057946
6922324,0.108901309,0.425420392,0.459925857
6863068,0.078291529,0.712468382,0.199854743
6912109,0.065364995,0.643571694,0.282040128
6918609,0.074201168,0.67228268,0.246064904
6889300,0.088061638,0.674176321,0.236554247
6837794,0.111108921,0.609036404,0.256342094
6943098,0.089252304,0.699247153,0.213723649
6927601,0.037257183,0.750133727,0.200716951
6897826,0.031811782,0.813037938,0.16152168
6882892,0.00697493,0.911340515,0.096595584
6873384,0.230975407,0.331025902,0.484020846
6934693,0.098041938,0.607019272,0.265822895
7224450,0.078122019,0.560807386,0.33851183
6898157,0.020264405,0.823977109,0.14909739
6837355,0.023589857,0.830412368,0.149445722
6830595,0.170280231,0.532515555,0.290072894
6943561,0.102861623,0.552850449,0.322531305
6844380,0.087965118,0.603383449,0.281574249
6814286,0.05439347,0.775552102,0.164852482
6898520,0.108357781,0.525345558,0.349456345
6940979,0.171765045,0.435033577,0.40184629
6851090,0.26064424,0.419987547,0.369637981
7107169,0.064259756,0.722620943,0.20233568
6830287,0.146981234,0.556936192,0.283465379
6933575,0.127487258,0.548858759,0.314038422
6938972,0.0264657,0.796009492,0.175074761
6888315,0.014190906,0.876436225,0.119310375
6855106,0.061826576,0.679890501,0.246332684
6838237,0.192855167,0.536287163,0.296155866
6901024,0.110187298,0.613205397,0.2703547
6846627,0.061935732,0.680832247,0.237337255
7219857,0.01228233,0.90324441,0.100022023
6852685,0.13035227,0.622606645,0.246123513
6831610,0.02043647,0.686756939,0.287526966
6943538,0.06489189,0.573237798,0.333326837
6911637,0.005443045,0.934037188,0.073477003
6854543,0.029377665,0.815206809,0.15829128
6940451,0.118640018,0.486316171,0.383663256
6819530,0.09581037,0.63109745,0.268500964
7093396,0.08777866,0.53479721,0.335272526
6840326,0.001497651,0.944498218,0.090967382
6834204,0.005404414,0.93450254,0.082424801
6902518,0.172259627,0.50952463,0.318613152
6930253,0.004425459,0.934978259,0.083386231
6828293,0.002917219,0.931907229,0.104654225
7203744,0.171073024,0.569499602,0.283791851
6816478,0.134941825,0.519243477,0.329424642
6868890,0.011310239,0.853490753,0.148505553
6879338,0.074606983,0.646790754,0.264557276
6898532,0.051747661,0.76274664,0.187704664
6899965,0.248133215,0.317551934,0.495827699
7133875,0.036933656,0.843720205,0.127639754
6822218,0.082956047,0.642813939,0.263067246
6814018,0.156388573,0.546092001,0.290162522
6896376,0.078089325,0.675543611,0.246408234
6918670,0.067389925,0.710054429,0.221717052
6867839,0.000353881,0.983454776,0.037784266
6823554,0.001162317,0.973649103,0.045826949
6934798,0.138558585,0.554854118,0.300256406
6820823,0.05147154,0.6948545,0.224334337
6880212,0.017947731,0.81712614,0.166299495
6934814,0.037664102,0.771566557,0.183396441
7254134,0.06901103,0.633744418,0.293092099
6938303,0.093544554,0.604811546,0.304383984
6813807,0.1026329,0.652795075,0.245912829
6878604,4.37E-12,0.999999939,1.22E-05
6876763,0.189230179,0.405689432,0.403414482
6844352,0.052943883,0.690847048,0.245918105
6915939,0.173525931,0.539980038,0.291019654
7109370,0.049085015,0.728085633,0.198477683
6855445,0.025831638,0.689755982,0.273129857
6818668,0.105592126,0.687018402,0.212578998
6836527,0.00208206,0.965999005,0.052882925
6831717,0.060450851,0.697624617,0.233799627
6937162,0.099372527,0.625161038,0.265555149
6922876,0.100672943,0.690182517,0.21065896
7109482,0.139005631,0.452827746,0.399970609
6940972,0.095577201,0.624438381,0.271919879
6883790,0.177047027,0.512718294,0.297521666
6921643,0.095795187,0.628506653,0.251355768
6935700,0.035441333,0.738288571,0.215586914
6827025,0.111443001,0.524830938,0.324140932
6943096,0.064996669,0.628570575,0.300786856
7161468,0.066620874,0.764706306,0.172533498
6879610,0.201237176,0.299218691,0.545626294
6935762,0.112213812,0.519256095,0.346740795
6925042,0.013942604,0.892628319,0.112421313
7121050,0.07961044,0.649932917,0.258948776
6821601,0.292329036,0.328543683,0.467098818
6926810,0.047785275,0.750875529,0.197031919
6946532,0.039101899,0.747666921,0.208798225
6875171,0.214896686,0.457204674,0.33861868
7096285,0.214094064,0.408661131,0.399550062
6812321,0.054436279,0.780311189,0.165938274
6822697,0.313166876,0.351014109,0.420663154
6941294,0.039608112,0.731520867,0.229533834
6873564,4.24E-07,0.999885692,0.001317661
6926791,0.039041436,0.738085985,0.226544213
7142444,0.211035039,0.559592435,0.267926502
6878128,0.128607635,0.645115379,0.235629707
6927428,0.023983302,0.732386617,0.241468462
6812674,0.026261165,0.866267518,0.113926744
6881774,0.018111083,0.790539508,0.187359531
7167797,0.031550387,0.79067985,0.178358836
6865238,0.029403476,0.801045963,0.157286732
6841710,0.081427001,0.702979347,0.213023369
6856334,0.000304769,0.985600515,0.031220344
6906462,0.021942298,0.792873162,0.186564045
6837438,0.167717822,0.51461607,0.306195616
6908277,0.137007306,0.553079575,0.310728595
6841291,0.055226016,0.793328337,0.157535744
6915178,0.169750818,0.365658528,0.484090829
6893031,0.131417152,0.448147414,0.410211765
6894985,0.216142815,0.45083948,0.358162023
6931134,0.136763143,0.503462551,0.339591968
6872264,0.131228452,0.415785779,0.450301404
6816953,0.165593221,0.536657225,0.293250466
7163518,0.320318071,0.342616261,0.42242268
6893253,0.084943191,0.66047462,0.23524102
6943822,0.171698073,0.320249608,0.546935727
6946313,0.040069582,0.817038935,0.148168423
6839443,0.024137505,0.794778564,0.18129394
6911338,0.070047695,0.677533984,0.239699084
7223877,0.244136046,0.439027712,0.353748909
6917884,0.077403802,0.683688344,0.226970035
6823126,0.02060133,0.858297438,0.127262078
6939488,0.218231034,0.450783951,0.359005877
7196924,0.095514729,0.649372747,0.238561969
6905685,0.100865183,0.516136336,0.366424603
6894092,0.118990809,0.430407825,0.420265834
6812181,0.088897894,0.691910648,0.210662848
6854610,0.07526686,0.633110015,0.274807457
6873754,0.100236227,0.549331958,0.315059891
6859181,0.240650609,0.507503624,0.299578013
6825402,0.007766041,0.895961943,0.113467988
6819526,0.007996413,0.898737585,0.116684098
6896065,0.001796712,0.947004634,0.086988304
6931793,0.066082188,0.650988027,0.265661579
6907360,0.004786558,0.931240187,0.08660272
6813182,0.029382017,0.778404923,0.180624683
6823959,0.057970693,0.744468136,0.200193581
6942189,0.096431611,0.571761706,0.29939369
6844384,0.032487491,0.779976207,0.185190811
6836888,0.389235308,0.210715086,0.586496471
6917844,0.045303839,0.706210086,0.238724733
6937842,0.138167398,0.490342459,0.361317927
6926917,0.063198581,0.697651566,0.232922462
7160740,0.090397441,0.698029948,0.20132195
6936310,0.110334109,0.580255961,0.291171222
6849109,0.135465948,0.472671002,0.383487119
6831018,0.015386895,0.858907301,0.118287917
6909842,0.046350363,0.74063111,0.202180286
6861360,0.028481693,0.827810892,0.146452554
6883414,0.04378353,0.728733778,0.216027336
6876026,0.053268533,0.781628567,0.158352757
7095390,0.013808193,0.910266865,0.094185397
6932265,0.086660451,0.702442334,0.211458899
6870949,0.100849776,0.490558785,0.396017293
6831335,0.076467234,0.63674928,0.254343868
6895698,0.067195033,0.714777967,0.215266974
6889889,0.062622523,0.700903505,0.215733555
6876679,0.168548409,0.514315264,0.302594614
6947097,0.102423436,0.690912366,0.218651483
6874970,0.00830699,0.892928295,0.113975631
6831069,0.19840961,0.557952556,0.268723867
6833628,0.104171017,0.645826444,0.234949767
6819282,0.048686437,0.675324325,0.248429131
6825025,0.003882125,0.909017631,0.122851
6856513,0.063024733,0.697383334,0.230473831
6928711,0.033285381,0.816819132,0.147834015
6832548,0.055569766,0.680227817,0.244632449
6881870,0.020825345,0.804509005,0.171549284
